DT_REFER;DENOM_CIA;ESCALA_MOEDA;ORDEM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04;Reservas de Lucros;1143825.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.01;Reserva Legal;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.01;Reserva Legal;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.02;Reserva Estatut©a;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.02;Reserva Estatut©a;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.03;Reserva para Conting£ias;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.03;Reserva para Conting£ias;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.04;Reserva de Lucros a Realizar;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.04;Reserva de Lucros a Realizar;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.05;Reserva de Retenï de Lucros;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.05;Reserva de Retenï de Lucros;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.06;Reserva Especial para Dividendos NàDistribu/s;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.06;Reserva Especial para Dividendos NàDistribu/s;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.07;Reserva de Incentivos Fiscais;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.08;Dividendo Adicional Proposto;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.04.09;Aes em Tesouraria;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.04.09;Aes em Tesouraria;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.05;Lucros/Preju¯s Acumulados;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.05;Lucros/Preju¯s Acumulados;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.06;Ajustes de Avaliaï Patrimonial;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.06;Ajustes de Avaliaï Patrimonial;0.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.07;Ajustes Acumulados de Conversû0.0000000000;S
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.07;Ajustes Acumulados de Conversû0.0000000000;S
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.01.08;Outros Resultados Abrangentes;-200896.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.01.08;Outros Resultados Abrangentes;-120479.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;PENŒTIMO;2.07.02;Patrimzo Luido Atribu/ aos NàControladores;173304.0000000000
2021-12-31;BRB BCO DE BRASILIA S.A.;MIL;ŒTIMO;2.07.02;Patrimzo Luido Atribu/ aos NàControladores;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2;Passivo Total;178966449.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2;Passivo Total;188303069.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01;Passivo Circulante;27389974.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01;Passivo Circulante;23883372.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.01;Obrigaes Sociais e Trabalhistas;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.01;Obrigaes Sociais e Trabalhistas;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.01.01;Obrigaes Sociais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.01.01;Obrigaes Sociais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.01.02;Obrigaes Trabalhistas;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.01.02;Obrigaes Trabalhistas;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.02;Fornecedores;3904051.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.02;Fornecedores;4031532.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.02.01;Fornecedores Nacionais;3904051.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.02.01;Fornecedores Nacionais;4031532.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.02.02;Fornecedores Estrangeiros;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.02.02;Fornecedores Estrangeiros;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03;Obrigaes Fiscais;1513477.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03;Obrigaes Fiscais;824109.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03.01;Obrigaes Fiscais Federais;1513477.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03.01;Obrigaes Fiscais Federais;824109.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03.01.01;Imposto de Renda e Contribuiï Social a Pagar;319435.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03.01.01;Imposto de Renda e Contribuiï Social a Pagar;19624.0000000000
